Condition,Are you a host on Airbnb?,How often do you use Airbnb?,Qualitative Feedback,Pre-Feedback,Post-Feedback,Pre-Feedback Ability,Pre-Feedback Benevolence,Pre-Feedback Integrity,Pre-Feedback Overall Trustworthiness (Holistic),Post-Feedback Ability,Post-Feedback Benevolence,Post-Feedback Integrity,Post-Feedback Overall Quality (Holistic)
2,No,3,I didn't really even understand the suggestions,"I am a retired father of two and grandfather of 6. My wife and I have a beautiful mountain/lake house in the Allegheny Mountains that we just can't get to as much as we would like. Between kids sporting events and traveling ourselves, we don't get to get away as much as we used to.  Our house is 4 bedroom and 3 baths with a large deck overlooking the lake. It is perfect for a weekend getaway or even a full week of fishing, hiking, and relaxing away from it all. Our family has some amazing memories at this house and we hope to give other families the opportunity to make their own memories.  As some background, my wife and I are both retired teachers. As a result, you will also find a shelf stacked with plenty of books to help make your getaway educational as well! If you read a book, we encourage you to put a little passage on the inside of the cover telling us a little bit about your stay.  Hopefully you enjoy our little piece of heaven as much as we do!","I am a retired father of two and grandfather of 6. My wife and I have a beautiful mountain/lake house in the Allegheny Mountains that we just can't get to as much as we would like. We don't get to get away as much as we used to between kids sporting events and traveling ourselves.  Our house is 4 bedroom and 3 baths with a large deck overlooking the lake. It is perfect for a weekend getaway or even a full week of fishing, hiking, and relaxing away from it all. Our family has some amazing memories at this house and we hope to give other families the opportunity to make their own memories.  As some background, my wife and I are both retired teachers. As a result, you also will find a shelf stacked with plenty of books to help make your getaway educational as well! If you read a book, we encourage you to put a little passage on the inside of the cover telling us a little bit about your stay.  Hopefully you enjoy our little piece of heaven as much as we do!",7,6,6.5,6.5,7,6,6.5,6.5
4,Yes,4,"Some feedback was the same, making it seemed like I had to follow instructions from a robot. But others were helpful. The feedback for my TV shows were out of place though and did not correlate with what I wrote.","Hello! I'm 26 and I would take great pleasure in serving as your host!  I\u2019m a PhD student studying plant biology, and I got interested in it during my bachelor\u2019s studies. In my free time from working however, I love to travel. My favorite destinations have been places with the beautiful sea, including Greece and southern France. I like traveling to places to meet friends or acquaintances. For instance, I\u2019ve met up with a high school friend I haven\u2019t seen in 6 years in Paris and it was amazing to catch up and see a new city with an old friend! Other than traveling, in my free time, I also like to binge watch TV shows. My favorite shows are girly ones, like Ugly Betty, Vampire Diaries, and Jane the Virgin.  I don\u2019t read too much books lately, since I\u2019ve been reading enough scientific papers, but I like  chick lit. I love good food, though I\u2019m slowly building up my spicy tolerance. I grew up eating buffets, so I can eat a lot despite my size. I love to meet new people, and look forward to meeting you!","Hello! I'm 26 and I would take great pleasure in serving as your host!  I\u2019m a PhD student studying plant biology, and I got interested in it during my bachelor\u2019s studies. In my free time from working however, I love to travel around great cities. My favorite destinations have been places with the beautiful sea, including Greece and southern France. I like traveling to places to meet friends or acquaintances. For instance, I\u2019ve met up with a high school friend I haven\u2019t seen in 6 years in Paris and it was amazing to catch up and see a new city with an old friend! We could make the same new friendships when we interact! Other than traveling, in my free time, I also like to binge watch TV shows. My favorite shows are girly ones, like Ugly Betty, Vampire Diaries, and Jane the Virgin. So I proabbly have a girly personality but I like to go on adventures too. I don\u2019t read too much books lately, since I\u2019ve been reading enough scientific papers, but I like  chick lit. I love good food, though I\u2019m slowly building up my spicy tolerance. I grew up eating buffets, so I can eat a lot despite my size. We could enjoy some good food together and talk! I love to meet new people, and look forward to meeting you!",5,6,6,6,6,7,6,7
2,No,2,"I think it was fine as it was, I think the feedback was automated and fake","Hello,   I'm Alissa and \""""live for the now\"""" is my motto! I'm a psychologist and I love running. I enjoy watching reality TV and cooking. I love cats and I can't live without music. I enjoy taking cruises and going to new places. I have a nice house for rent in a great area. I am easily accessible if you have any questions.","Hello,   I'm Alissa and \""""live for the now\"""" is my motto! I'm a psychologist and I love running. I enjoy watching reality TV and cooking. I love cats and I can't live without music. I enjoy taking cruises and going to new places. I have a nice house for rent in a great area. I am easily accessible if you have any questions.",4,5.5,5,5,5,5,5,5
2,No,1,"I seemed to only have overall feedback, I didn't see any segment feedback (perhaps because my bio was just one paragraph). The overall feedback said I did a good job.","No pets, no smoking or vaping. I enjoy sci-fi and comedy movies/TV, nonfiction books, and pizza. My post-college career didn't work out as planned, so I'm trying to make some extra money. I can't afford to travel much myself, so come share your journeys with me. I live conveniently close to many popular local shopping and eating destinations.","No pets, no smoking or vaping. I enjoy sci-fi and comedy movies/TV, nonfiction books, and pizza. My post-college career didn't work out as planned, so I'm trying to make some extra money. I can't afford to travel much myself, so come share your journeys with me. I live conveniently close to many popular local shopping and eating destinations.",2,3,3.5,2.5,2,3,3.5,2.5
4,No,6,"Feedback did not take into account all sections (e.g., it recommended including life motto when I already did).","I am an attorney living and working in Chicago. I love this city and am excited to share my home with you! I am an avid runner and yogi, love to cook (as well as eat new and delcious foods), and bike every chance I get. When I have a day to myself, I like to bike to the Lake and spend it on the beach with a good book. If you are looking for recommendations on things to do in Chicago and where to explore, I am more than happy to point you in the right direction."", ""  "", ""  I travel extensively and stay at Airbnb's every chance I get. I try to provide the same amentities I look for when I travel: clean and tastefully decorated lodgings, friendly and accommodating hosting, central location, and all the niceties that you can't quite find at a hotel. "", ""  "", "" My motto: Leave things better than you found them."", "" "", "" I'm lookig forward to your visit!""","I am an attorney living and working in Chicago. I have lived all over the Midwest but decided to settle down here after falling madly in love with the City of Big Shoulders. I love Chicago and am excited to share my home with you!"", ""  "", "" I am an avid runner and yogi, love to cook (as well as eat new and delcious foods), and bike every chance I get. When I have a day to myself, I like to bike to the Lake and spend it on the beach with a good book. "", "" "", ""If you are looking for recommendations on things to do in Chicago, I am more than happy to point you in the right direction. There are so many wonderufl things this city has to offer; I don't want you to miss out."", ""  "", ""  I travel extensively and stay at Airbnb's every chance I get. I try to provide the same amentities I look for when I travel: clean and tastefully decorated lodgings, friendly and accommodating hosting, central location, and all the niceties that you can't quite find at a hotel. "", ""  "", "" My motto: Leave things better than you found them."", "" "", "" I'm looking forward to your visit!""",6,5.5,5.5,5.5,6,6,6,6
2,No,2,"The feedback was quite general and not all that helpful.  I tried to improve it, but no more feedback was given.  ","Hi!  I live in the backcounty of Vermont.  I am renting out my extra bedroom in the isolated upstairs of my house.  You will have your own private bathroom and access to the rest of the amenities of my house.  I am a professional chef and have a very large, well equipped kitchen.    There is access to many local ski areas, nature trails, restaurants, breweries, and shopping.  Canada is quite close by as well.  Mother Nature is right out the back door and waiting to be explored.    Come share my rural slice of Vermont with me and enjoy the scenery.","Hi!  I live in the backcounty of Vermont at the top of a hill with views for miles.  I am renting out my spacious extra bedroom in the isolated upstairs of my house.  You will have your own private bathroom and access to the rest of the amenities of my house.  I am a professional chef and have a very large, well equipped kitchen.    There is access to many local ski areas, nature trails, restaurants, breweries, and shopping.  Canada is quite close by as well.  Mother Nature is right out the back door and waiting to be explored.  There are many activites that an adventerous person can discover.      Come share my rural slice of Vermont with me and enjoy the scenery. You won't regret it!",5,6,6,5,4,4,4,4
4,No,2,"The feedback provided was very generic, I don't think it was particularly helpful","I am a 41 year old single man looking to rent a large, very clean, and modernly decorated room to travellers. I enjoy video games and outdoor activities, such as hiking, running, and swimming. I like to keep a clean home and try to make people feel very welcome, while respecting their provacy.","I am a 41 year old single man looking to rent a large, very clean, and modernly decorated room to travellers. I enjoy video games and outdoor activities, such as hiking, running, and swimming. I like to keep a clean home and try to make people feel very welcome, while respecting their provacy.    I think it is important to get out and explore the world, but have a fun and relaxing place to call home. I love to meet new people and hear their stories.",3,3,4.5,3.5,3.5,5,5,5
4,No,3,"I agree my lead sentence could have been improved, although I don't think it was inauthentic..","Hi! We are a couple in the Minneapolis area with an entire level of our house for rent. We love the outdoors and will be happy to introduce you to fun activities in every season, including winter! We're also within walking distance to many cultural sites here in the city, including museums, theater, sports, and loads of ethnic restaurants. We're on two bus lines and about one mile from the light rail, so you may not even need a car. We love to help our guests and offer an evening wine and cheese gathering to get to know you and your interests better. We're looking forward to meeting you?","Hi! We are a couple in the Minneapolis area and would love to meet you. We have an entire level of our house for rent. We love the outdoors and will be happy to introduce you to fun activities in every season, including winter! We're also within walking distance to many cultural sites here in the city, including museums, theater, sports, and loads of ethnic restaurants. We're on two bus lines and about one mile from the light rail, so you may not even need a car. We love to help our guests and offer an evening wine and cheese gathering to get to know you and your interests better. We're looking forward to meeting you?",6,6,6,6,6,6,6,6
3,No,5,I felt the feedback was very general and overall uninformative for the most part.,"Prepare yourself to stay in the up and coming, trendy Bayview area of Milwaukee. Enjoy 2 large bedrooms with queen beds that can accomadate up to 4 people with a pull out couch to accomadate 2 more. Enjoy a full service kitchen, full bath, large living room with 60in TV and huge bay windows.   It gets better. Large walkout patio with its own grill and table and chairs. Basement does feature a washer and dryer in the event you want to take care of your clothes before you head home!    You are only a few blocks away from the new histor Bayview. Trendy night clubs, beer lounges, and restaurants with food that will keep you coming back for me.  We as the hosts live downstairs so you have your complete privacy, seperate from ours. If you need anything, give us a knock! All renters will be greated with a clean home and a 6pack of Spotted Cow to start your Milwaukee adventure off right!    What are you waiting for!?!","Prepare yourself to stay in the up and coming, trendy Bayview area of Milwaukee. Enjoy 2 large bedrooms with queen beds that can accomadate up to 4 people with a pull out couch to accomadate 2 more. Enjoy a full service kitchen, full bath, large living room with 60in TV and huge bay windows.   It gets better. Large walkout patio with its own grill and table and chairs. Basement does feature a washer and dryer in the event you want to take care of your clothes before you head home!    You are only a few blocks away from the new histor Bayview. Trendy night clubs, beer lounges, and restaurants with food that will keep you coming back for me. Downtown Milwaukee is a 7minute Uber drive. Resturants are all over the place. Enjoy brunch from a place youve never heard of with food youll never forget.  We as the hosts live downstairs so you have your complete privacy, seperate from ours. If you need anything, give us a knock! All renters will be greated with a clean home and a 6pack of Spotted Cow to start your Milwaukee adventure off right!    What are you waiting for!?!",6,6,5.5,5.5,6,6.5,6,6
3,No,2,I didn't receive any feedback at all. I guess there were no problems.,"There are five things I can't live without: my Kindle, my cat, my health, my conscience, and my coffee maker. I value all of these things the most in my life! My Kindle, in particular, is very valuable to me. I enjoy reading science fiction novels - think Dune and Neuromancer. I like to read these books while I travel, and the Kindle is a convenient way to do so (while enjoying a nice cup of hot joe). My favorite travel destination has been East Asia, especially Thailand. It's gorgeous, tropical, and has wonderful beaches, people, and food. My life motto is: find yourself first, then you won't be searching any longer.   I have been employed as a teacher for over 13 years, and recently joined AirBnb to make some extra money (and allow my guests to enjoy my wonderful apartment). I am fortunate enough to own two properties, so I am able to rent one out while living in the other. I'm also very concerned with the upkeep of my apartments, so I have them regularly inspected, fixing any problems that arise immediately. My homes are like my children, and I put a lot of time an effort into maintaining them and keeping them clean. As a person who values convenience and excitement in my life, I've carefully selected the location and amenities of my homes to make them as comfortable as possible for myself and my guests. I'm a very open-minded and friendly person, and I'm always happy to receive questions and meet new people, so please don't hesitate to send me a message!","There are five things I can't live without: my Kindle, my cat, my health, my conscience, and my coffee maker. I value all of these things the most in my life! My Kindle, in particular, is very valuable to me. I enjoy reading science fiction novels - think Dune and Neuromancer. I like to read these books while I travel, and the Kindle is a convenient way to do so (while enjoying a nice cup of hot joe). My favorite travel destination has been East Asia, especially Thailand. It's gorgeous, tropical, and has wonderful beaches, people, and food. My life motto is: find yourself first, then you won't be searching any longer.   I have been employed as a teacher for over 13 years, and recently joined AirBnb to make some extra money (and allow my guests to enjoy my wonderful apartment). I am fortunate enough to own two properties, so I am able to rent one out while living in the other. I'm also very concerned with the upkeep of my apartments, so I have them regularly inspected, fixing any problems that arise immediately. My homes are like my children, and I put a lot of time an effort into maintaining them and keeping them clean. As a person who values convenience and excitement in my life, I've carefully selected the location and amenities of my homes to make them as comfortable as possible for myself and my guests. I'm a very open-minded and friendly person, and I'm always happy to receive questions and meet new people, so please don't hesitate to send me a message!",7,6,6.5,6,7,6,6.5,6
2,No,1,It did not seem to make sense or be relevant.,"Hello, I am a young adult who likes to read, exercise, and watch movies. I would be an excellent host as I would provide access to my large movie collection and home theatre, including all of the Marvel Universe movies which are among my favorites. I am a picky eater and consider chicken to be my favorite food, so I would be very accomodating and considerate in providing meals tailored to specific favors. When I travel I prefer to seek out areas on foot to get a full grasp of the area and its sights, and to also get an idea of the culture of the people who live in the city. My primary principle is to treat others as you would wish to be treated yourself, and to always conduct yourself with empathy and great consideration","Hello, I am a young adult who likes to read, exercise, and watch movies. I would be an excellent host as I would provide access to my large movie collection and home theatre, including all of the Marvel Universe movies which are among my favorites. I am a picky eater and consider chicken to be my favorite food, so I would be very accomodating and considerate in providing meals tailored to specific favors. When I travel I prefer to seek out areas on foot to get a full grasp of the area and its sights, and to also get an idea of the culture of the people who live in the city. My primary principle is to treat others as you would wish to be treated yourself, and to always conduct yourself with empathy and great consideration.",5.5,6,5.5,5.5,5.5,6,5.5,5.5
4,No,2,I found it to be very helpful feedback. I wish  my high school english teachers were as helpful.,"My name is Matthew Ciuccio and I am married to Joanne. We have a 3 year old daughter. We live in South Nyack, New York and and avid travellers.   We love to read and watch movies which we only get from visiting the ocal public libraries, which, are our passion.   We have a vegan household and love to cook everynight.  We are a alid back host, we have stayed at other locations with AirBNB and know how e like to be treated. THat is how we wish others to feel when they stay with us.       We are life long learners in this household, so there is plenty of knowledge producing matrerial around, from ample computer and internet access to an extensive library of physical books.","My name is Matthew Ciuccio and I am married to Joanne. We have a 3 year old daughter. We live in South Nyack, New York and and avid travellers. Nyack to the north of us is a lovely hip town. There are many activities for all. There is fine dining, art museums, and wide outdoor parks along the Hudson river to enjoy. To the north in Upper Nyack you have the beautiful Hook Mountian to explore.  We love to read and watch movies which we only get from visiting the ocal public libraries, which, are our passion.   We have a vegan household and love to cook everynight.  We are a alid back host, we have stayed at other locations with AirBNB and know how e like to be treated. THat is how we wish others to feel when they stay with us.       We are life long learners in this household, so there is plenty of knowledge producing matrerial around, from ample computer and internet access to an extensive library of physical books.",5.5,5.5,5.5,5,5.5,6.5,6.5,6
1,No,1,The feedback didn't do very much. It just told me good job and that my answer was good and well thought out.,"Hi I am renting out my apartment in Chicago. I am a clean and generally laid back person. I enjoy traveling which is why I rent my apartment so often. I particularly enjoy sporting events, especially when teams from Houston are playing. I live life to the fullest but always make sure to keep my place clean and respectable. I would love to host you at my place, as long as we are on the same page with expectations","Hi I am renting out my apartment in Chicago. I am a clean and generally laid back person. I enjoy traveling which is why I rent my apartment so often. I particularly enjoy sporting events, especially when teams from Houston are playing. I live life to the fullest but always make sure to keep my place clean and respectable. I would love to host you at my place, as long as we are on the same page with expectations",4,3.5,4.5,4,4,4,4,4
3,No,1,"I know I have grammer problems, so I tried, but in the end, I knew I'd never get it right.","A little about me. I like cooking a lot, so if you are staying over, you've the option of a home cooked meal every single night! I know a few things in the area to do, but I'm a real homebody that stays primarily in my room. I really enjoy being a host, so expect snacks to be readily available, and requests to be something on the top of my list.","Here is little about me. Cooking is my passion. Anyone staying over has the option of a home cooked meal every night! I know a few things in the area to do, but I'm a real homebody that stays primarily in my room. I really enjoy being a host, so expect snacks to be readily available, and requests to be something on the top of my list.",4.5,6,5.5,5.5,4.5,6.5,5.5,6
4,No,3,The feedback was really helpful. It helped me to expand my thoughts and be more inviting. ,"I can't live without my cat, lip balm, crochet, brussel sprouts, and strawberries. My favorite place to travel is California. I love the weather over there, and the ocean! The Perks of Being a Wallflower is such a special book to me. You can catch me watching Whip It! on Friday nights. The Office is my favorite show of all time. You can't go wrong with watching Michael Scott's shenanigans. I love sushi and roasted vegetables. They're definitely my favorites, veggies all the way!    When I travel, I like a really free vacation. No itenerary, no plans, just a destinantion and a partner to go with. I love to explore the land and see what's around. It's living like you're a local, not a tourist.    I love setting up my Airbnb to be cozy and inviting. When you come here, it'll be like a home away from home. Come get comfy on my couch, read some books or watch a movie. Cook up some delicious stuff in the kitchen, too.    My life motto is \""""bloom where you are planted.\"""" We're all just looking for someplace to really be. Even if we're not at the right place, we still should be blooming and growing. So, always bloom where you are.","I can't live without my cat, lip balm, crochet, brussel sprouts, and strawberries. My favorite place to travel is California. I love the weather over there, and the ocean! The Perks of Being a Wallflower is such a special book to me. You can catch me watching Whip It! on Friday nights. The Office is my favorite show of all time. You can't go wrong with watching Michael Scott's shenanigans. I love sushi and roasted vegetables. They're definitely my favorites, veggies all the way!    When I travel, I like a really free vacation. When we travel, we have no itenerary, no plans, just a destinantion and a partner to go with. I love to explore the land and see what's around. It's living like you're a local, not a tourist. I love making friends wherever I go. I love going to the loval beaches, cities, and other local experiences.   I love setting up my Airbnb to be cozy and inviting. When you come here, it'll be like a home away from home. Come get comfy on the couch and watch a movie. Go ahead and cook up some delicious stuff in the kitchen, too. See the local art in town, make some friends and check out the city. There's tons of fun experiences and restaurants around. Try Mundo on 3rd Street, it's so delicious.   My life motto is \""""bloom where you are planted.\"""" We're all just looking for someplace to really be. Even if we're not at the right place, we still should be blooming and growing. So, always bloom where you are. I'm always trying to grow and be free, so I love living by this motto.    I'm from NJ and I hope you love it here as much as I do. ",5,5,5,6,5,7,5.5,6
4,No,3,"I kept adding information that the feedback suggested, but I kept getting the same feedback. It didn't seem to be doing anything valuable.","Hi there! I'm an accountant who has worked really hard of her life, and now I'm enjoying the fruits of my labor. I enjoy travel, photography and cats! Now, my hard work is your reward, however, as now you can rent out my awesome apartment while I travel! My home is near everything hip and awesome in this town, and you'll be able to walk anywhere that you can think of.   Enjoy your time at my home!","Hi there! I'm an accountant who has worked really hard of her life, and now I'm enjoying the fruits of my labor. I enjoy travel, photography and cats! Now, my hard work is your reward, however, as now you can rent out my awesome apartment while I travel! My home is near everything hip and awesome in this town, and you'll be able to walk anywhere that you can think of.   Enjoy your time at my home!",6.5,5,5.5,5.5,6.5,5,5.5,5.5
4,No,1,It seemed no matter what I did I kept getting the identical feedback.,"I'm 40 years old and I decided six months ago to quit my stable but unfulfilling coroprate job to embark on the adventure of a lifetime: to explore all the places in the world I had only dreamt about. I have experienced some fascinating journeys already, and am eager for more! In order to continue this pursuit, I am listing my San Francisco house on Airbnb. I am a friendly born-and-raised Bay Area resident who will gladly take time to show you all the best spots in the area, from well-known tourist attractions to the best-kept local secrets. Thanks for your time reading my profile - I look forward to hearing from you!","I'm 40 years old and I decided six months ago to leave my stable but unfulfilling desk job to embark on the adventure of a lifetime: to explore all the places in the world I had only dreamt about. I have experienced some fascinating journeys already, and am eager for more! In order to continue this pursuit, I am listing my San Francisco house on Airbnb. I am a friendly born-and-raised Bay Area resident who will gladly take time to show you all the best spots in the area, from well-known tourist attractions to the best-kept local secrets. Thanks for your time reading my profile - I look forward to hearing from you!",2,3,3,3,4,3,3,4
1,No,1,I thought all feedback was very helpful and descriptive. ,"Hello there and thank you for checking out my AirBnb page. I love a true lover of all sports and hard rock music. While my full time job does consume a great majority of my time, when I am not busy with my work, I tend to enjoy the outdoorsl; whether it'd be activities or just relaxing out in the sun. I also love cooking, traveling the world, and enjoying some good cinema. My life moto is \""""Live on integrity\","Hello there and thank you for checking out my AirBnb page. I love a true lover of all sports and hard rock music. While my full time job does consume a great majority of my time, when I am not busy with my work, I tend to enjoy the outdoorsl; whether it'd be activities or just relaxing out in the sun. I also love cooking, traveling the world, and enjoying some good cinema. My life moto is \""""Live on integrity\",4.5,4,4.5,4,4.5,4,4.5,4
4,No,3,"I liked my bio before, but it did help to get feedback.","We are a married couple in our mid-20's. We both work full time and are also youth pastors. This keeps us fairly busy, but we also love spending time out in the community and particularly at the oceanfront, which is only about 2 miles from our house.","We are a married couple in our mid 20's.  We both work full time and are also youth pastors. This keeps us fairly busy, but we also love spending time out in the community, particularly at the oceanfront which is only about 2 miles from our house. We're both Air Force brats, but have spent a fair amount of our lives in the area, so we can help you with any questions you may have! Please feel free to let us know if you have any questions, we are always here but want to respect your privacy as well.",7,5,5,5,7,7,7,7
