Condition,"Before today, have you ever written an online product review?",What laptop model/type did you write your review about? (Please be as specific as possible),How often do you read user reviews when shopping online?,Qualitative,Pre-Feedback,Post-Feedback,Pre-Feedback Review Informativeness,Pre-Feedback Review Subjectivity,Pre-Feedback Review Writing Clarity,Pre-Feedback Overall Quality (Holistic),Post-Feedback Review Informativeness,Post-Feedback Review Subjectivity,Post-Feedback Review Writing Clarity,Post-Feedback Review Overall Quality (Holistic)
1,Yes,Toshiba L15-B1330,7,It did not lead me to want to change my review much.,"Toshiba L15-B1330 I was initially attracted to this laptop because while most other 11.6 inch low-end laptops include only 32GB eMMC storage, the L15-B1330 sports a full 128GB SSD. The increased size and faster hard drive is certainly a big draw, but unfortunately the laptop's performance is hampered by only 2GB of RAM. The laptop shipped with Windows 8 and a free upgrade to Windows 10, which I applied almost immediately. I'm not sure how well Windows 8 ran, but 10 is a nightmare. Simple tasks like watching hi-def videos and even web browsing at times can slow the laptop to a crawl and possible freeze or crash programs. However, I am now running Ubuntu 16.04 the performance increase is staggering. If you're not afraid to install a new operating system, this underpowered laptop might be worth the low price point for light use.","Toshiba L15-B1330 I was initially attracted to this laptop because while most other 11.6 inch low-end laptops include only 32GB eMMC storage, the L15-B1330 sports a full 128GB SSD. The increased size and faster hard drive is certainly a big draw, but unfortunately the laptop's performance is hampered by only 2GB of RAM. The laptop shipped with Windows 8 and a free upgrade to Windows 10, which I applied almost immediately. I'm not sure how well Windows 8 ran, but 10 is a nightmare. Simple tasks like watching hi-def videos and even web browsing at times can slow the laptop to a crawl and possible freeze or crash programs. However, I am now running Ubuntu 16.04 the performance increase is staggering. Web browsing, videos, even light games all run fine. If you're not afraid to install a new operating system, this underpowered laptop might be worth the low price point for light use. The one problem no software can correct is a small, cramped, and sometimes unresponsive keyboard. Keys are often skipped unless pressed very deliberately. Ultimately, I would only recommend this laptop to somebody on a tight budget who isn't expecting too much, and a familiarity with Linux is helpful.",4.5,5,4.5,4.5,5,5,4.5,5.5
1,Yes,Dell Latitude E4200,6,It didn't give me any feedback. There were no red words to hover over so I just re-read my review.,"The current laptop I own is a Dell Latitude E4200. It is about 3 years old and I have had it for about a year. It looks like a laptop that is maybe 15 years old. I like the old style look compared to the new kind of laptops that look less rugged. The laptop is pretty tough. I have traveled with it for months while backpacking and it never let me down. It has all the normal features of a laptop. Nothing too fancy orhard to understand. It does everything I want a laptop to do. It is fairly powerful and decently fast even for its age. The screen is fairly small, but not too small. Say medium size. Overall it is a good, durable laptop. I don't think it is great in any way. Just an overall nice laptop. Normal keyboard and fingerpad. Enough usb ports and it still has a dvd drive.","The current laptop I own is a Dell Latitude E4200. It is about 3 years old and I have had it for about a year. It looks like a laptop that is maybe 15 years old. I like the old style look compared to the new kind of laptops that look less rugged. The laptop is pretty tough. I have traveled with it for months while backpacking and it never let me down. It has all the normal features of a laptop. Nothing too fancy orhard to understand. It does everything I want a laptop to do. It is fairly powerful and decently fast even for its age. The screen is fairly small, but not too small. Say medium size. Overall it is a good, durable laptop. I don't think it is great in any way. Just an overall nice laptop. Normal keyboard and fingerpad. Enough usb ports and it still has a dvd drive.",2.5,5,5,3.5,2.5,5,5,3.5
3,Yes,Asus Republic of Gamers GL702VM,7,"I found the feedback pleasant and reassuring, but not specific. I was told I was helpful informative, but there were not critical points to the feedback, and nothing happened when I hovered over the text, so I am choosing the last option below.","I recently purchased an Asus Republic of Gamers GL702VM laptop. It is a powerhouse of a machine, and is running games and other intense programs better than my desktop.  The laptop has a good size 17 inch screen and a backlit keyboard, but it is still quite light weight, and battery life is good for a laptop of this size - about 7 hours. It is large enough so that there is a numpad, which I find hard to do without.  It's GTX 1060 video card and 16 gigs of RAM provide a great gaming experience. It is VR ready, and the speakers are great! They are on the sides of the laptop rather than the back, which I find produces very clear sound. The case is attractive and sleek. The keyboard is unique, I guess you could say, with orangey red WASD keys. Odd, but nothing that detracts really.  The only negatives I have found are that the machine runs very hot. When gaming, you could not actually put it on your lap - it's that hot. I need to change the settings to reduce the heat without reducing performance, but for right now I am using a cooling pad while gaming. It doesn't get hot during regular use.  Also, the touchpad is so smooth that it is slippery. I do prefer this to the textured ones, as they get ittitating after awhile, but it does take some getting used to before you can use the touch pad quickly an accurately. All in all, my opinion of the laptop is high, and I recommend the machine to anyone looking for a strong mobile gaming unit.","I recently purchased an Asus Republic of Gamers GL702VM laptop. It is a powerhouse of a machine, and is running games and other intense programs better than my desktop.  The laptop has a good size 17 inch screen and a backlit keyboard, but it is still quite light weight, and battery life is good for a laptop of this size - about 7 hours. It is large enough so that there is a numpad, which I find hard to do without.  It's GTX 1060 video card and 16 gigs of RAM provide a great gaming experience. It is VR ready, and the speakers are great! They are on the sides of the laptop rather than the back, which I find produces very clear sound. The case is attractive and sleek. The keyboard is unique, I guess you could say, with orangey red WASD keys. Odd, but nothing that detracts really.  The only negatives I have found are that the machine runs very hot. When gaming, you could not actually put it on your lap - it's that hot. I need to change the settings to reduce the heat without reducing performance, but for right now I am using a cooling pad while gaming. It doesn't get hot during regular use.  Also, the touchpad is so smooth that it is slippery. I do prefer this to the textured ones, as they get ittitating after awhile, but it does take some getting used to before you can use the touch pad quickly an accurately. All in all, my opinion of the laptop is high, and I recommend the machine to anyone looking for a strong mobile gaming unit.",5,6,5.5,5.5,5,6,5.5,5.5
3,Yes,Lenovo X220T ,6,"I didn't get much of any feedback, other than my submission was informative and good.  I think I must have submitted a quality review on my first try.","The Lenovo Thinkpad x220 convertible laptop is one of the best laptop's I've ever had.  It's got excellent specifications that have remained competitive for the past 5 years.  It has a lightning fast i7 processor that provides adequate processing ability while not eating through the battery.  It has 8gb of RAM and is expandable up to 16.  However, I've found 8gb of RAM to be plenty for most applications.  The screen resolution isn't that great, and is the biggest complaint I have for this laptop.  It only goes up to 1366x768.  However, the lack of resolution is made up by being a touch screen.  It has a built in stylus that has it's own buttons on it.  It's awesome for making art.  The battery life is exceptional as well.  It can easily get 6 to 8 hours through normal use including videos, gaming, and web browsing.  The SSD storage is kind of small at only 128gb, but it's lightning fast!  Another one of my favorite features of the laptop is the Thinkpad style touchpad.  it has the buttons ABOVE the touch pad which allow you to have your fingers on the homerow keys of the keyboard, and click the mouse buttons with your thumbs.  The left and right buttons are between the spacebar and the touchpad itself.  It's a very efficient design.  The laptop itself is very sturdy.  It has fallen a few times, and is still doing awesome.  The screen can be twisted and folded up to convert the laptop into a tablet.  This is awesome for web browsing while laying in bed.    Overall it's a really fantastic laptop.  It has excellent specifications and features.  It has a lot of features that make it top of the class in various applications.  The only real complaint is the small storage capacity and the low screen resolution.","The Lenovo Thinkpad x220 convertible laptop is one of the best laptop's I've ever had.  It's got excellent specifications that have remained competitive for the past 5 years.  It has a lightning fast i7 processor that provides adequate processing ability while not eating through the battery.  It has 8gb of RAM and is expandable up to 16.  However, I've found 8gb of RAM to be plenty for most applications.  The screen resolution isn't that great, and is the biggest complaint I have for this laptop.  It only goes up to 1366x768.  However, the lack of resolution is made up by being a touch screen.  It has a built in stylus that has it's own buttons on it.  It's awesome for making art.  The battery life is exceptional as well.  It can easily get 6 to 8 hours through normal use including videos, gaming, and web browsing.  The SSD storage is kind of small at only 128gb, but it's lightning fast!  Another one of my favorite features of the laptop is the Thinkpad style touchpad.  it has the buttons ABOVE the touch pad which allow you to have your fingers on the homerow keys of the keyboard, and click the mouse buttons with your thumbs.  The left and right buttons are between the spacebar and the touchpad itself.  It's a very efficient design.  The laptop itself is very sturdy.  It has fallen a few times, and is still doing awesome.  The screen can be twisted and folded up to convert the laptop into a tablet.  This is awesome for web browsing while laying in bed.    Overall it's a really fantastic laptop.  It has excellent specifications and features.  It has a lot of features that make it top of the class in various applications.  The only real complaint is the small storage capacity and the low screen resolution.",5.5,6,5.5,5.5,5.5,6,5.5,5.5
3,No,MacBook Pro,6,"I got very little feedback. It just said good job, essentially.","For the last eight years I have used a 13 inch MacBook Pro. The laptop is great. I had previously owned several Windows computers but they all only lasted a couple of years. The mac is very durable and has put up with a lot of abuse. Another stong point is its usability. The layout and display is very intuitive and it is easy to manage files, folders, programs, applications and so on. I like to have a \""clean\"" workspace and mac makes it very easy to organize everything to give your computer a neat appearance. I personally don't need a whole lot of computing power, but I've never had a problem completing any task on the mac. I use it for photo editing, browsing the web, doing translations, and some other small writing and design projects - the computer has always been able to handle whatever I've thrown at it. On the negative side of things I don't have many complaints. Occasionally there are some compatability issues with windows programs and devices. Recently I had one with an external hard drive. Normally, these issues are easy to fix. Also, the battery life is starting to dwindle, but, as I said, the computer is 8 years old. On the whole I'm very satisfied","For the last eight years I have used a 13 inch MacBook Pro. The laptop is great. I had previously owned several Windows computers but they all only lasted a couple of years. The mac is very durable and has put up with a lot of abuse. Another stong point is its usability. The layout and display is very intuitive and it is easy to manage files, folders, programs, applications and so on. I like to have a \""clean\"" workspace and mac makes it very easy to organize everything to give your computer a neat appearance. I personally don't need a whole lot of computing power, but I've never had a problem completing any task on the mac. I use it for photo editing, browsing the web, doing translations, and some other small writing and design projects - the computer has always been able to handle whatever I've thrown at it. On the negative side of things I don't have many complaints. Occasionally there are some compatability issues with windows programs and devices. Recently I had one with an external hard drive. Normally, these issues are easy to fix. Also, the battery life is starting to dwindle, but, as I said, the computer is 8 years old. On the whole I'm very satisfied",4,5,5.5,4.5,4,5,5.5,4.5
2,Yes,HP Spectre x360 15t,7,Useful for product purchase,"I will buy another HP laptop again. Few months after the warranty expired, the fan broke. It was making this awful grinding sound. I bought a new fan and some Arctic Silver 5 thermal grease to replace the fan. Everything went well, until the Arctic Silver grease dried out 6 months later and needed to be replaced.Between the over-heating and the cheap unreliable build quality, it's just not worth it in the long run.","I will never buy another HP laptop again. Few months after the warranty expired, the fan broke. It was making this awful grinding sound. I bought a new fan and some Arctic Silver 5 thermal grease to replace the fan. Everything went well, until the Arctic Silver grease dried out 6 months later and needed to be replaced.Between the over-heating and the cheap unreliable build quality, it's just not worth it in the long run.",2.5,4,5.5,3.5,2.5,4,5.5,3.5
2,Yes,Lenovo Ideapad 100s,7,Feedback provided was very specific. ,"The Lenovo ideapad 100s is a lightweight, portable laptop that covers all the basics anyone would need for basic word processing, and web browsing. I can use this laptop to browse all my favorite sites. Content loads in a decent amount of time. I also use this to do basic word processing and desktop publishing, including some graphic design. I haven't had problems with software compatibility as of yet. While this laptop has enough power to do the basics, I would not recomend it for someone looking for a powerful machine to do heavy graphic design, or for gamers.","The Lenovo ideapad 100s is a lightweight, portable laptop that covers all the basics anyone would need for basic word processing, and web browsing. I can use this laptop to browse all my favorite sites. Content loads in a decent amount of time. I've used it for basic word processing and desktop publishing with no problems. I haven't had problems with software compatibility as of yet. While this laptop has enough power to do the basics, I would not recomend it for someone looking for a powerful machine to do heavy graphic design, or for gamers.",3,4.5,5,4,3,4.5,5,4
1,Yes,Apple iPhone 6s Plus,2,"I think this review was elaborate in itself. The feedback was nice, although I questioned if some of it was just a means of a condition of the survey.","I currently own an HP laptop that has done nothing but good for me. I had been an Apple fan for the longest time but I decided because I wanted to work more on Mturk, I wanted to be more focused on getting a PC because a lot of scripts and a lot of surveys are more PC friendly. Also, for my personal gain it would be cheaper to get a PC. I can't think of an instance where this PC has done me much wrong. The battery life is pretty average, but I don't usually leave my PC off of the charger so that's not too terribly much of an issue. The speed is good, and I can manage to use multiples apps and have multiple tasks open at the same time. The design is pretty clean too, with a solid build quality and a solid means of build structure. The camera is alright, it is what it is but it's not something I really looked for. This laptop does everything I need it to do, and that is something I am more than pleased with.","I currently own an HP laptop that has done nothing but good for me. I had been an Apple fan for the longest time but I decided because I wanted to work more on Mturk, I wanted to be more focused on getting a PC because a lot of scripts and a lot of surveys are more PC friendly. Also, for my personal gain it would be cheaper to get a PC. I can't think of an instance where this PC has done me much wrong. The battery life is pretty average, but I don't usually leave my PC off of the charger so that's not too terribly much of an issue. The speed is good, and I can manage to use multiples apps and have multiple tasks open at the same time. The design is pretty clean too, with a solid build quality and a solid means of build structure. The camera is alright, it is what it is but it's not something I really looked for. This laptop does everything I need it to do, and that is something I am more than pleased with. I can't think of any glaring issues with the product in question. Some of the facing of the keyboard can be a bit slippery and I do think it is a little inconvenient that the volume up and airplane mode buttons are right next to each other. I've definitely clicked on one that I shouldn't have previously.",3,3,5.5,3.5,3.5,4,5.5,4
3,Yes,Acer Aspire V17 Nitro Edition,4,"The feedback was okay, but I had already provided most of that information.","Acer Aspire V17 Nitro Edition At first, I was skeptical. I wasn't exactly sure whether I wanted to drop $1.2k on a laptop. At the time, I was rather stupid with my money. After years of building desktops I went with a gaming laptop. And that's where my skepticism turned to anger. This laptop gets VERY VERY hot. I mean, it left burn marks on my legs...in fairness I was gaming for a few weeks and laying down with it on my lap...perhaps a good desk would mitigate this (so much for ""laptop""). The GPU is shit. The 960m is garbage and Nvidia is finally making m processors match their desktop equivalents. Portability: 3/10 This thing is huge. It is a gaming desktop, however, and there is a 17 inch screen. Gaming on the go: Don't expect to go full rez on anything pre 2012. Good gaming laptops are expensive. I regret not building a desktop for 1/3 of the price that ran twice as good. OS: The OS that came on this laptop was Windows 8. Complete trash. Upgraded to Windows 10...complete trash. Wipe your laptop and spend time learning Linux or use Windows 7 (drive compatibility issues here). Durability: 5/10. This laptop certainly hasn't been dropped, but it has been thrown around in my backpack. The cheap paint on it is strating to peel off and that annoys the crap on me. Speakers: not bad for a laptop. They sound much better plugged into my surround sound. 1 game this does run well is GTA V. I am very happy to run this on moderately high settings for GTA. Very awesome. USB ports can't handle the power draw...don't be surprised to see them constantly malfunctioning and being a rather pain in the butt. Would I recommend that you purchase this laptop? Sadly no. Laptops aren't meant to game, and you shouldn't game on the go...but if you do, go drop $5k on a good portable. I didn't have that kind of money and I paid the price. I should've either built a desktop or bought a smaller laptop that could just play a few games pre 2012. I'd have been much happier and wouldn't be begging you to not buy this laptop.","Acer Aspire V17 Nitro Edition At first, I was skeptical. I wasn't exactly sure whether I wanted to drop $1.2k on a laptop. At the time, I was rather stupid with my money. After years of building desktops I went with a gaming laptop. And that's where my skepticism turned to anger. This laptop gets VERY VERY hot. I mean, it left burn marks on my legs...in fairness I was gaming for a few weeks and laying down with it on my lap...perhaps a good desk would mitigate this (so much for ""laptop""). The GPU is shit. The 960m is garbage and Nvidia is finally making m processors match their desktop equivalents. Portability: 3/10 This thing is huge. It is a gaming desktop, however, and there is a 17 inch screen. Gaming on the go: Don't expect to go full rez on anything pre 2012. Good gaming laptops are expensive. I regret not building a desktop for 1/3 of the price that ran twice as good. OS: The OS that came on this laptop was Windows 8. Complete trash. Upgraded to Windows 10...complete trash. Wipe your laptop and spend time learning Linux or use Windows 7 (drive compatibility issues here). Durability: 5/10. This laptop certainly hasn't been dropped, but it has been thrown around in my backpack. The cheap paint on it is strating to peel off and that annoys the crap on me. Speakers: not bad for a laptop. They sound much better plugged into my surround sound. 1 game this does run well is GTA V. I am very happy to run this on moderately high settings for GTA. Very awesome. USB ports can't handle the power draw...don't be surprised to see them constantly malfunctioning and being a rather pain in the butt. Aesthetics: The backlight keyboard is awesome. I wish you could change colors but this makes it so that you can game in the dark and enjoy your laptop with no light. Wireless is crap. The broadcomm adapter hardly works. Get a good USB dongle if you buy this laptop. Battery is also pretty bad. Think about having this plugged in or using it on low power mode. It drains quickly. Would I recommend that you purchase this laptop? Sadly no. Laptops aren't meant to game, and you shouldn't game on the go...but if you do, go drop $5k on a good portable. I didn't have that kind of money and I paid the price. I should've either built a desktop or bought a smaller laptop that could just play a few games pre 2012. I'd have been much happier and wouldn't be begging you to not buy this laptop.",4,4.5,5,5,4.5,5,5,5.5
4,Yes,Acer ,6,I found the feedback useful. It gave me clues on what should be included in the review.,"This is a good laptop for basic usage. I mostly check email, complete schoolwork, shop, and pay bills online. If you're using the laptop for those purposes then it's a good buy. I stream music and movies so I don't do a lot of downloading. If you do a lot of that then this laptop is not for you. I could handle quite a bit of files but you would find it lacking in the long run if you're going to need a lot of memory. This wouldn't be the best choice for a gaming laptop either. Basic usage is what this device is good for.","This is a good laptop for basic usage. I mostly check email, complete schoolwork, shop, and pay bills online. If you're using the laptop for those purposes then it's a good buy. I stream music and movies so I don't do a lot of downloading. If you do a lot of that then this laptop is not for you. The dark grey color was nice and the weight was just right. It wasn't too heavy nor was it extremely light. I could handle quite a bit of files but you would find it lacking in the long run if you're going to need a lot of memory. This wouldn't be the best choice for a gaming laptop either. Basic usage is what this device is good for.",2,4.5,5.5,3,2.5,5.5,5.5,3.5
4,No,HP 15 with AMD processor and touchscreen,3,"not sure of difference between document level and segment level, however the feedback was generally helpful in providing topic points I missed, but it wasn't very specific","Although it was moderately priced, I am not completely satisfied with my HP 15 laptop. This is not the first laptop I ever purchased, so my critique includes comparison with other laptops I have owned. "", """", ""This HP laptop has an AMD processor, which the salesman assured me was as good as an Intel Core version, the only kind I was familiar with. However, my experience has been that this laptop is prone to \""freezing up\"", forcing restarts an average of once daily. I now believe that the cost savings of buying an AMD model aren't worth the potential issues."", """", ""In addition, the touchpad on this laptop is \""touchy\"", an issue I never experienced with other touchpads. Swiping across the touchpad sometimes causes the laptop to malfunction, again forcing a restart. This occurs about once or twice a week, with daily use of the device."", """", ""The size of this laptop is sufficient for routine use, but I would not recommend it if you're approaching the age to need bifocals, as I am. The 15-inch diagonal screen is just small enough to require me to move as close to it as possible, resulting in discomfort if I use the computer for a prolonged period."", """", ""I will concede that this laptop has lasted through daily use for over two years, with no battery issues, touchscreen problems, or need for repairs. Despite the glitches that force restarts, this laptop has always recovered, with no loss of data to date.","Although it was moderately priced, I am not completely satisfied with my HP 15 laptop. This is not the first laptop I ever purchased, so my critique includes comparison with other laptops I have owned. This HP laptop has an AMD processor, which the salesman assured me was as good as an Intel Core version, the only kind I was familiar with. However, my experience has been that this laptop is prone to \""freezing up\"", forcing restarts an average of once daily. I now believe that the cost savings of buying an AMD model aren't worth the potential issues. In addition, the touchpad on this laptop is \""touchy\"", an issue I never experienced with other touchpads. Swiping across the touchpad sometimes causes the laptop to malfunction, again forcing a restart. This occurs about once or twice a week, with daily use of the device. The size of this laptop is sufficient for routine use, but I would not recommend it if you're approaching the age to need bifocals, as I am. The 15-inch diagonal screen is just small enough to require me to move as close to it as possible, resulting in discomfort if I use the computer for a prolonged period. Aesthetics were not an issue for me, so the boring look of this plain black rectangle doesn't bother me. I'm not a gamer, so its gaiming capability is unknown to me and not a factor. The keyboard suffices, although I sometimes miss having a mouse since it only has a touchpad. I have used this laptop wirelessly, at home and during travels, so that is a plus. I will concede that this laptop has lasted through daily use for over two years, with no battery issues, touchscreen problems, or need for repairs. Despite the glitches that force restarts, this laptop has always recovered, with no loss of data to date.  ",3.5,5,5,4.5,5.5,5.5,5,5.5
3,No,Macbook Air 13 Inch Early 2015,6,It was very effective feedback,"My most recently owned laptop is a macbook air. It is the best laptop I have ever owned. I use it mainly for school, but I also use it to watch movies,play games, and watch youtube videos. I can also use it for social networking. I love that it is just the right size for school. It is very easy to carry around and it is super lightweight. It's a great all around laptop to use.","My most recently owned laptop is a macbook air. It is the best laptop I have ever owned. I use it mainly for school, but I also use it to watch movies,play games, and watch youtube videos. I can also use it for social networking. I love that it is just the right size for school. It is very portable because it is very easy to carry around and it is super lightweight. It also looks great. Apple keeps it very simple with the aluminum body, but it looks great. The keyboard feels good and is easy to use. The macbook air performs very well and is quick to open every application. It also has a great battery life. I can usually go all day on a single charge.  It's a great all around laptop to use.",1.5,3,3.5,2,2,3,4,2.5
4,No,Toshiba Satellite Pro,4,I liked it.,"My laptop is a Toshiba Satellite Pro. Overall, it has been very useful to me, but it has a few drawbacks. This laptop is what I primarily use to complete MTurk tasks. It has been reliable and has never really been too much of a hassle. However, one major drawback of my laptop is the battery life. I think that the battery life is much too short. It's so bad now (after a little over a year of owning it) that it will die sometimes after about an hour or so. As long as I keep a charger handy, though, it's fine. Overall this is a really good laptop that has gotten me through a lot.","My laptop is a Toshiba Satellite Pro. Overall, it has been very useful to me, but it has a few drawbacks. I like the keyboard, it's really nice. It's also decent for playing games. This laptop is what I primarily use to complete MTurk tasks. It has been reliable and has never really been too much of a hassle. However, one major drawback of my laptop is the battery life. I think that the battery life is much too short. It's so bad now (after a little over a year of owning it) that it will die sometimes after about an hour or so. As long as I keep a charger handy, though, it's fine. Overall this is a really good laptop that has gotten me through a lot.",2.5,4.5,4.5,3.5,3,4,4.5,4.5
1,Yes,Fujitsu AH530,4,It kept asking for more personal opinions but I didn't have any other opinion.,"I got this Fujitsu AH530 four or five years ago and it still works, but that's all. The battery was trashy after just 2 weeks of use and it's been a long time since it died. I have to keep the laptop plugged in all the time. The harddrive also died after 4 months of use and right now I am using a 4th one. Once in a while I have to open the laptop and clean the fan otherwise it will crash because of overheating. Its capacity/speed is very slow right now, but can't complain after so many years. The speakers are also awful. I don't think I will ever buy from Fujitsu again.","Fujitsu AH530  I got this Fujitsu AH530 four or five years ago and it still works, but that's all. Pros: - it still works; - the display is okay; - webcam is not bad. Cons: - battery never worked to full capacity; - power adapter broken many times; - HDD died a few times; - speakers are pretty bad, don't expect to use them; - overheats very easily; - very slow.  The battery was trashy after just 2 weeks of use and it's been a long time since it died. I have to keep the laptop plugged in all the time. The harddrive also died after 4 months of use and right now I am using a 4th one. Once in a while I have to open the laptop and clean the fan otherwise it will crash because of overheating. The speakers are also awful. Its capacity/speed is very slow right now, but can't complain after so many years.  I don't even know why I am still using it, I pretty much hate this laptop and can't wait to buy a new one. I don't think I will ever buy from Fujitsu again, they have been a great disappointment.  Hope this review helped.",2.5,3,4.5,3,3.5,5,4.5,4
2,Yes,MSI Apache Pro 070 17.3in Gaming Laptop,6,"Passive voice isn't something I strive for in writing, secondly it labeled a lot of functions as ""too technical"" in terminology. I think it was important to list all that it had. Such as usb ports, hdmi, etc.  ","This is a review for the MSI Apache Pro 070 17.3in Gaming Laptop. When you need a laptop that can outperform in nearly every way MSI delivers the best gaming laptop experience I have yet to find. The laptop starts off with an i7-6700 Intel processor with quad cores. This alone is a great processor and is very quick in handling functions that would normally carry heavy CPU burdens. It states it can run at a solid 2.6GhZ but it continually runs at 3.8GhZ without over clocking I have brought it to 4.2GhZ with MSI Afterburner and over clocking it seems to still run stably.. In addition, there is 16GB ram to ensure a quick speed and a high capacity of just what this laptop can handle. Booting up is quick with a 128GB SSD that comes with Windows 10 and can be loaded with other programs for quick starts and fast speeds. While the 128GB handles programs there is an addition 1TB drive for storage of pictures, music, documents, and more. You can install programs to drive /:D as well as the main drive (128GB SSD).  While speeds are wonderful on this computer MSI was not behind in putting in a wonderful GPU (Graphics Card), we have the GTX970M which can handle 3D programming, all Adobe products, and runs most games in Ultra or Very High settings.  There is also the SteeleSeries Keyboard with programmable macros, a light up keyboard function with adjustable lighting, colors, and a beautiful full HD 17.3in screen with no reflective coat. The keyboard also comes with \u201cAnti-ghost\u201d and the LAN comes with Killer Gaming Network to tweet the internet for added speeds with certain programs. There is a total of 4USB ports all 3.0+, an HDMI connection, LAN line connection, Optical Drive (With BluRay Reader). All this in a metal casing with anti-scratch coating. To keep all this running MSI has also included an extra Fan Boost Speed technology as a button in the top right corner which accelerates the fan speeds to 100% or you can install MSI Afterburner to make a custom fan curve.  Pros The Speed is wonderfully fast Programs load instantly I love the keyboard, screen, and overall feel to the laptop. The graphics card is wonderful However, while the laptop has many great features there are some not so great ones as well. When it arrives all the drivers must be updated via MSI\u2019s website. Bios is not up to date. In addition and honestly more seriously, the graphics card runs too hot and needs the MSI fan curve or Speed Fan Boost. I try to keep my temps below 85c and Nividia suggests keeping the GTX970M below 93c.  The keyboard, with heavy usage, the paint can come off if you are not careful, it does chip.  My largest complaint is honestly Windows 10 that comes with this computer which is the Home version and does not come with GPU edit. Windows 10 also conflicts with many of the programs on the machine such as the Realtek Audio driver (must be updated to be compatible) and the best Nehmic sounds that is comes with will stop working with Windows Updates. Upgrading Nehmic to Nehmic 2.0+ will solve this problem. Also I would suggest turning off Win10 Updates through regedit.  Overall, this is a great computer and I would recommend it to anyone that is looking for an affordable gaming laptop that can easily do many other tasks such as Adobe, or 3Dx Max. If you\u2019re looking for a computer that can do it all I highly suggest this MSI laptop. While there are better GPU\u2019s on the market such as the Nividia GTX10X+ series and that are VR (virtual reality ready) I feel you will not be wanting with the current system set up. I would repeat buy this laptop.","This is a review for the MSI Apache Pro 070 17.3in Gaming Laptop. When you need a laptop that can outperform in nearly every way MSI delivers the best gaming laptop experience I have yet to find. The laptop starts off with an i7-6700 Intel processor with quad cores. This alone is a great processor and is very quick in handling functions that would normally carry heavy CPU burdens. It states it can run at a solid 2.6GhZ but it continually runs at 3.8GhZ without over clocking I have brought it to 4.2GhZ with MSI Afterburner and over clocking it seems to still run stably.. In addition, there is 16GB ram to ensure a quick speed and a high capacity of just what this laptop can handle. Booting up is quick with a 128GB SSD that comes with Windows 10 and can be loaded with other programs for quick starts and fast speeds. While the 128GB handles programs there is an addition 1TB drive for storage of pictures, music, documents, and more. You can install programs to drive /:D as well as the main drive (128GB SSD).  While speeds are wonderful on this computer MSI was not behind in putting in a wonderful GPU (Graphics Card), we have the GTX970M which can handle 3D programming, all Adobe products, and runs most games in Ultra or Very High settings.  There is also the SteeleSeries Keyboard with programmable macros, a light up keyboard function with adjustable lighting, colors, and a beautiful full HD 17.3in screen with no reflective coat. The keyboard also comes with \u201cAnti-ghost\u201d and the LAN comes with Killer Gaming Network to tweet the internet for added speeds with certain programs. There is a total of 4USB ports all 3.0+, an HDMI connection, LAN line connection, Optical Drive (With BluRay Reader). All this in a metal casing with anti-scratch coating. To keep all this running MSI has also included an extra Fan Boost Speed technology as a button in the top right corner which accelerates the fan speeds to 100% or you can install MSI Afterburner to make a custom fan curve.  Pros The Speed is wonderfully fast Programs load instantly I love the keyboard, screen, and overall feel to the laptop. The graphics card is wonderful However, while the laptop has many great features there are some not so great ones as well. When it arrives all the drivers must be updated via MSI\u2019s website. Bios is not up to date. In addition and honestly more seriously, the graphics card runs too hot and needs the MSI fan curve or Speed Fan Boost. I try to keep my temps below 85c and Nividia suggests keeping the GTX970M below 93c.  The keyboard, with heavy usage, the paint can come off if you are not careful, it does chip.  My largest complaint is honestly Windows 10 that comes with this computer which is the Home version and does not come with GPU edit. Windows 10 also conflicts with many of the programs on the machine such as the Realtek Audio driver (must be updated to be compatible) and the best Nehmic sounds that is comes with will stop working with Windows Updates. Upgrading Nehmic to Nehmic 2.0+ will solve this problem. Also I would suggest turning off Win10 Updates through regedit.  Overall, this is a great computer and I would recommend it to anyone that is looking for an affordable gaming laptop that can easily do many other tasks such as Adobe, or 3Dx Max. When you\u2019re looking for a computer that can do it all I highly suggest this MSI laptop. While there are better GPU\u2019s on the market such as the Nividia GTX10X+ series and that are VR (virtual reality ready) I feel you will not be wanting with the current system set up. I would repeat buy this laptop.",6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5
1,No,,7,The feedback was helpful. I liked getting feedback on what I could improve. ,"My current laptop is a Dell. I mostly use this laptop for work, and school. There is also a camera installed at the top of the laptop which is useful for chats and connecting with my teachers. I have had this laptop for three years now, and I have not had any problems so far. Everything runs smoothly and quickly. The speakers on this laptop are also good, and I have no issues listening to lectures or music. This laptop can connect with headphones, and has a USB port. I feel that this would be a great laptop for students, as well as a first laptop for someone. Everything is easy to set up and keep updated. Overall I would give this laptop a 4 out of 5. It is a great basic laptop that can be used for a variety of purposes.","My current laptop is a Dell. I mostly use this laptop for work, and school. There is also a camera installed at the top of the laptop which is useful for chats and connecting with my teachers. I have had this laptop for three years now, and I have not had any problems so far. Everything runs smoothly and quickly. The speakers on this laptop are also good, and I have no issues listening to lectures or music. This laptop can connect with headphones, and has a USB port. I feel that this would be a great laptop for students, as well as a first laptop for someone. Everything is easy to set up and keep updated. Overall I would give this laptop a 4 out of 5. It is a great basic laptop that can be used for a variety of purposes.",3.5,4,4,4,3.5,4,4,4
